book_filename,book_number,book_name,paragraph_number,original_paragraph_index,word_count,output_filename
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,1,5,117,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_01.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,2,7,148,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_02.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,3,14,137,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_03.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,4,59,218,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_04.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,5,62,186,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_05.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,6,73,222,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_06.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,7,74,100,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_07.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,8,79,236,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_08.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,9,82,116,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_09.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,10,83,231,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_10.txt
